SampleID,Site,Date,Type,Rep,Source,Group,Site_Type
REDB.20190715.EPIPSAMMON.1,REDB,20190715,EPIPSAMMON,1,benthic,5,REDB_EPIPSAMMON
REDB.20190715.EPIPSAMMON.2,REDB,20190715,EPIPSAMMON,2,benthic,5,REDB_EPIPSAMMON
REDB.20190715.EPIPSAMMON.3,REDB,20190715,EPIPSAMMON,3,benthic,5,REDB_EPIPSAMMON
REDB.20190715.EPIPSAMMON.4,REDB,20190715,EPIPSAMMON,4,benthic,5,REDB_EPIPSAMMON
REDB.20190715.EPIPSAMMON.5,REDB,20190715,EPIPSAMMON,5,benthic,5,REDB_EPIPSAMMON
REDB.SS.20190709,REDB,20190709,SS,1,surface,5,REDB_SS
ARIK.20190715.EPIPSAMMON.1,ARIK,20190715,EPIPSAMMON,1,benthic,6,ARIK_EPIPSAMMON
ARIK.20190715.EPIPSAMMON.2,ARIK,20190715,EPIPSAMMON,2,benthic,6,ARIK_EPIPSAMMON
ARIK.20190715.EPIPSAMMON.3,ARIK,20190715,EPIPSAMMON,3,benthic,6,ARIK_EPIPSAMMON
SYCA.20190617.EPILITHON.1,SYCA,20190617,EPILITHON,1,benthic,6,SYCA_EPILITHON
SYCA.20190617.EPILITHON.2,SYCA,20190617,EPILITHON,2,benthic,6,SYCA_EPILITHON
SYCA.20190617.EPILITHON.3,SYCA,20190617,EPILITHON,3,benthic,6,SYCA_EPILITHON
SYCA.20190617.EPILITHON.4,SYCA,20190617,EPILITHON,4,benthic,6,SYCA_EPILITHON
SYCA.20190617.EPILITHON.5,SYCA,20190617,EPILITHON,5,benthic,6,SYCA_EPILITHON
SYCA.20190617.EPIPSAMMON.1,SYCA,20190617,EPIPSAMMON,1,benthic,6,SYCA_EPIPSAMMON
SYCA.20190617.EPIPSAMMON.2,SYCA,20190617,EPIPSAMMON,2,benthic,6,SYCA_EPIPSAMMON
SYCA.20190617.EPIPSAMMON.3,SYCA,20190617,EPIPSAMMON,3,benthic,6,SYCA_EPIPSAMMON
SYCA.SS.20190716,SYCA,20190716,SS,1,surface,6,SYCA_SS
